name,catalog_id,class,type,ra,dec,mag,size_arcmin,common_names
NGC 2832,NGC2832,galaxy,Galaxy,09:19:46,+33:44:59,11.8,3.20,
NGC 2805,NGC2805,galaxy,Galaxy,09:20:20,+64:06:10,11.6,3.39,
NGC 2855,NGC2855,galaxy,Galaxy,09:21:27,-11:54:34,11.1,3.45,
NGC 2841,NGC2841,galaxy,Galaxy,09:22:02,+50:58:35,10.2,6.90,
IC 2469,IC2469,galaxy,Galaxy,09:23:01,-32:26:59,11.1,5.79,
NGC 2865,NGC2865,galaxy,Galaxy,09:23:30,-23:09:41,11.5,2.44,
NGC 2859,NGC2859,galaxy,Galaxy,09:24:18,+34:30:48,10.9,3.19,
NGC 2872,NGC2872,galaxy,Galaxy,09:25:42,+11:25:55,11.9,1.75,
NGC 2889,NGC2889,galaxy,Galaxy,09:27:12,-11:38:36,11.8,1.95,
NGC 2880,NGC2880,galaxy,Galaxy,09:29:34,+62:29:26,11.6,2.33,
NGC 2907,NGC2907,galaxy,Galaxy,09:31:36,-16:44:04,11.6,2.82,
NGC 2903,NGC2903,galaxy,Galaxy,09:32:10,+21:30:03,8.9,11.94,
NGC 2935,NGC2935,galaxy,Galaxy,09:36:44,-21:07:41,11.2,4.21,
NGC 2962,NGC2962,galaxy,Galaxy,09:40:53,+05:09:56,11.9,2.31,
NGC 2967,NGC2967,galaxy,Galaxy,09:42:03,+00:20:11,11.6,2.14,
NGC 2974,NGC2974,galaxy,Galaxy,09:42:33,-03:41:56,10.9,3.48,
NGC 2950,NGC2950,galaxy,Galaxy,09:42:35,+58:51:04,11.0,2.62,
NGC 2964,NGC2964,galaxy,Galaxy,09:42:54,+31:50:50,11.4,2.92,
NGC 2968,NGC2968,galaxy,Galaxy,09:43:12,+31:55:43,11.7,2.48,
NGC 2983,NGC2983,galaxy,Galaxy,09:43:41,-20:28:37,11.9,2.37,
NGC 2986,NGC2986,galaxy,Galaxy,09:44:16,-21:16:40,10.6,4.81,
NGC 2997,NGC2997,galaxy,Galaxy,09:45:38,-31:11:27,9.4,10.26,
NGC 3001,NGC3001,galaxy,Galaxy,09:46:18,-30:26:14,11.6,3.02,
NGC 2976,NGC2976,galaxy,Galaxy,09:47:15,+67:54:59,10.2,5.77,
NGC 3003,NGC3003,galaxy,Galaxy,09:48:36,+33:25:17,11.8,4.74,
NGC 2985,NGC2985,galaxy,Galaxy,09:50:22,+72:16:43,10.5,3.61,
NGC 3038,NGC3038,galaxy,Galaxy,09:51:15,-32:45:09,11.7,2.80,
NGC 3041,NGC3041,galaxy,Galaxy,09:53:07,+16:40:39,11.6,3.22,
NGC 3044,NGC3044,galaxy,Galaxy,09:53:40,+01:34:46,11.9,4.20,
NGC 3054,NGC3054,galaxy,Galaxy,09:54:28,-25:42:12,11.5,3.56,
NGC 3056,NGC3056,galaxy,Galaxy,09:54:32,-28:17:53,11.7,2.26,
