name,catalog_id,class,type,ra,dec,mag,size_arcmin,common_names
NGC 4291,NGC4291,galaxy,Galaxy,12:20:18,+75:22:15,11.4,1.93,
NGC 4281,NGC4281,galaxy,Galaxy,12:20:21,+05:23:11,11.3,2.85,
NGC 4293,NGC4293,galaxy,Galaxy,12:21:12,+18:22:56,10.2,6.24,
NGC 4298,NGC4298,galaxy,Galaxy,12:21:32,+14:36:22,11.3,2.54,
NGC 4302,NGC4302,galaxy,Galaxy,12:21:42,+14:35:53,11.5,6.00,
M 61,NGC4303,galaxy,Galaxy,12:21:54,+04:28:25,10.2,6.89,
NGC 4304,NGC4304,galaxy,Galaxy,12:22:12,-33:29:04,11.8,2.48,
NGC 4312,NGC4312,galaxy,Galaxy,12:22:31,+15:32:16,11.7,5.02,
NGC 4314,NGC4314,galaxy,Galaxy,12:22:31,+29:53:45,10.6,3.70,
M 100,NGC4321,galaxy,Galaxy,12:22:54,+15:49:18,9.5,6.10,
NGC 4324,NGC4324,galaxy,Galaxy,12:23:06,+05:15:01,11.5,2.96,
NGC 4339,NGC4339,galaxy,Galaxy,12:23:34,+06:04:54,11.4,2.32,
NGC 4340,NGC4340,galaxy,Galaxy,12:23:35,+16:43:20,11.2,2.82,
NGC 4350,NGC4350,galaxy,Galaxy,12:23:57,+16:41:36,10.9,2.80,
NGC 4365,NGC4365,galaxy,Galaxy,12:24:28,+07:19:03,9.4,5.12,
NGC 4386,NGC4386,galaxy,Galaxy,12:24:28,+75:31:44,11.7,2.52,
NGC 4361,NGC4361,nebula,Planetary Nebula,12:24:30,-18:47:05,10.9,1.05,
NGC 4369,NGC4369,galaxy,Galaxy,12:24:36,+39:22:58,11.7,1.98,
NGC 4371,NGC4371,galaxy,Galaxy,12:24:55,+11:42:15,10.8,3.88,
M 84,NGC4374,galaxy,Galaxy,12:25:03,+12:53:13,9.8,7.41,
NGC 4377,NGC4377,galaxy,Galaxy,12:25:12,+14:45:43,11.8,1.60,
NGC 4379,NGC4379,galaxy,Galaxy,12:25:14,+15:36:26,11.6,1.87,
NGC 4378,NGC4378,galaxy,Galaxy,12:25:18,+04:55:30,11.3,2.09,
NGC 4380,NGC4380,galaxy,Galaxy,12:25:22,+10:01:00,11.3,3.35,
M 85,NGC4382,galaxy,Galaxy,12:25:24,+18:11:29,9.1,6.95,
NGC 4388,NGC4388,galaxy,Galaxy,12:25:46,+12:39:43,11.0,5.38,
NGC 4395,NGC4395,galaxy,Galaxy,12:25:48,+33:32:48,10.3,4.17,
NGC 4394,NGC4394,galaxy,Galaxy,12:25:55,+18:12:50,11.0,3.48,
NGC 4402,NGC4402,galaxy,Galaxy,12:26:07,+13:06:48,11.8,3.52,
M 86,NGC4406,galaxy,Galaxy,12:26:11,+12:56:46,8.9,11.53,
NGC 4414,NGC4414,galaxy,Galaxy,12:26:27,+31:13:24,10.2,1.95,
NGC 4416,NGC4416,galaxy,Galaxy,12:26:46,+07:55:08,11.6,1.57,
NGC 4417,NGC4417,galaxy,Galaxy,12:26:50,+09:35:03,11.2,3.09,
NGC 4419,NGC4419,galaxy,Galaxy,12:26:56,+15:02:50,11.1,3.89,
NGC 4421,NGC4421,galaxy,Galaxy,12:27:02,+15:27:41,11.4,2.59,
NGC 4424,NGC4424,galaxy,Galaxy,12:27:11,+09:25:14,11.7,3.04,
NGC 4425,NGC4425,galaxy,Galaxy,12:27:13,+12:44:05,11.9,3.08,
NGC 4429,NGC4429,galaxy,Galaxy,12:27:26,+11:06:27,10.1,5.30,
NGC 4435,NGC4435,galaxy,Galaxy,12:27:40,+13:04:44,11.0,3.03,Eyes
NGC 4438,NGC4438,galaxy,Galaxy,12:27:45,+13:00:31,10.9,9.16,Eyes
NGC 4440,NGC4440,galaxy,Galaxy,12:27:53,+12:17:35,11.8,1.77,
NGC 4442,NGC4442,galaxy,Galaxy,12:28:03,+09:48:13,10.6,4.32,
NGC 4449,NGC4449,galaxy,Galaxy,12:28:11,+44:05:37,9.6,4.66,
NGC 4448,NGC4448,galaxy,Galaxy,12:28:15,+28:37:13,11.1,1.58,
NGC 4450,NGC4450,galaxy,Galaxy,12:28:29,+17:05:05,10.9,5.46,
NGC 4452,NGC4452,galaxy,Galaxy,12:28:43,+11:45:18,11.9,3.36,
NGC 4454,NGC4454,galaxy,Galaxy,12:28:50,-01:56:21,11.9,2.17,
NGC 4457,NGC4457,galaxy,Galaxy,12:28:59,+03:34:14,10.6,2.79,
NGC 4459,NGC4459,galaxy,Galaxy,12:29:00,+13:58:42,10.2,4.17,
NGC 4461,NGC4461,galaxy,Galaxy,12:29:03,+13:11:01,11.0,3.61,
NGC 4462,NGC4462,galaxy,Galaxy,12:29:21,-23:09:58,11.8,3.60,
NGC 4469,NGC4469,galaxy,Galaxy,12:29:28,+08:44:59,11.0,2.86,
M 49,NGC4472,galaxy,Galaxy,12:29:46,+08:00:01,8.3,10.21,
NGC 4473,NGC4473,galaxy,Galaxy,12:29:48,+13:25:45,10.1,4.27,
NGC 4474,NGC4474,galaxy,Galaxy,12:29:53,+14:04:06,11.6,2.33,
NGC 4477,NGC4477,galaxy,Galaxy,12:30:02,+13:38:11,10.3,3.70,
NGC 4478,NGC4478,galaxy,Galaxy,12:30:17,+12:19:42,11.4,1.75,
NGC 4490,NGC4490,galaxy,Galaxy,12:30:36,+41:38:38,9.7,6.71,
M 87,NGC4486,galaxy,Galaxy,12:30:49,+12:23:28,9.0,7.11,Virgo Galaxy
NGC 4492,NGC4492,galaxy,Galaxy,12:30:59,+08:04:40,12.0,2.11,
NGC 4487,NGC4487,galaxy,Galaxy,12:31:04,-08:03:14,11.4,3.46,
NGC 4494,NGC4494,galaxy,Galaxy,12:31:24,+25:46:30,9.8,4.35,
NGC 4496A,NGC4496A,galaxy,Galaxy,12:31:39,+03:56:22,11.6,3.37,
M 88,NGC4501,galaxy,Galaxy,12:31:59,+14:25:13,10.3,8.65,
NGC 4503,NGC4503,galaxy,Galaxy,12:32:06,+11:10:35,11.0,3.48,
NGC 4504,NGC4504,galaxy,Galaxy,12:32:17,-07:33:48,11.6,3.18,
NGC 4517,NGC4517,galaxy,Galaxy,12:32:45,+00:06:54,10.5,9.02,
IC 3568,IC3568,nebula,Planetary Nebula,12:33:06,+82:33:50,10.6,0.38,
NGC 4519,NGC4519,galaxy,Galaxy,12:33:30,+08:39:17,12.0,2.33,
NGC 4526,NGC4526,galaxy,Galaxy,12:34:03,+07:41:58,9.6,6.95,
NGC 4528,NGC4528,galaxy,Galaxy,12:34:06,+11:19:16,12.0,1.60,
NGC 4527,NGC4527,galaxy,Galaxy,12:34:08,+02:39:13,10.5,6.30,
NGC 4532,NGC4532,galaxy,Galaxy,12:34:19,+06:28:03,11.9,2.49,
NGC 4535,NGC4535,galaxy,Galaxy,12:34:20,+08:11:51,9.9,8.15,
NGC 4536,NGC4536,galaxy,Galaxy,12:34:27,+02:11:17,10.5,7.08,
M 91,NGC4548,galaxy,Galaxy,12:35:26,+14:29:46,11.0,5.55,
NGC 4546,NGC4546,galaxy,Galaxy,12:35:29,-03:47:35,10.6,3.16,
NGC 4551,NGC4551,galaxy,Galaxy,12:35:37,+12:15:50,12.0,1.71,
M 89,NGC4552,galaxy,Galaxy,12:35:39,+12:33:22,10.1,8.13,
NGC 4559,NGC4559,galaxy,Galaxy,12:35:57,+27:57:36,9.9,10.57,
NGC 4565,NGC4565,galaxy,Galaxy,12:36:20,+25:59:15,10.9,16.75,Needle Galaxy
NGC 4564,NGC4564,galaxy,Galaxy,12:36:26,+11:26:21,11.3,3.13,
NGC 4567,NGC4567,galaxy,Galaxy,12:36:32,+11:15:28,11.3,2.74,"Butterfly Galaxies,Siamese Twins"
NGC 4568,NGC4568,galaxy,Galaxy,12:36:34,+11:14:20,10.8,4.31,"Butterfly Galaxies,Siamese Twins"
M 90,NGC4569,galaxy,Galaxy,12:36:49,+13:09:46,9.5,9.12,
NGC 4570,NGC4570,galaxy,Galaxy,12:36:53,+07:14:47,11.1,3.88,
NGC 4571,NGC4571,galaxy,Galaxy,12:36:56,+14:13:02,11.3,3.56,
NGC 4589,NGC4589,galaxy,Galaxy,12:37:24,+74:11:30,10.7,2.93,
NGC 4578,NGC4578,galaxy,Galaxy,12:37:30,+09:33:18,11.4,2.50,
M 58,NGC4579,galaxy,Galaxy,12:37:43,+11:49:05,10.3,5.01,
NGC 4586,NGC4586,galaxy,Galaxy,12:38:28,+04:19:08,11.6,3.43,
NGC 4592,NGC4592,galaxy,Galaxy,12:39:18,-00:31:55,11.9,4.10,
M 68,NGC4590,cluster,Globular Cluster,12:39:28,-26:44:34,8.0,6.60,
NGC 4593,NGC4593,galaxy,Galaxy,12:39:39,-05:20:39,11.4,2.40,
NGC 4596,NGC4596,galaxy,Galaxy,12:39:55,+10:10:34,10.5,3.93,
M 104,NGC4594,galaxy,Galaxy,12:39:59,-11:37:23,8.6,8.45,Sombrero Galaxy
NGC 4605,NGC4605,galaxy,Galaxy,12:39:59,+61:36:33,10.3,5.87,
NGC 4602,NGC4602,galaxy,Galaxy,12:40:36,-05:07:58,11.8,1.29,
NGC 4606,NGC4606,galaxy,Galaxy,12:40:57,+11:54:44,11.9,2.47,
NGC 4608,NGC4608,galaxy,Galaxy,12:41:13,+10:09:20,11.1,2.88,
NGC 4618,NGC4618,galaxy,Galaxy,12:41:32,+41:09:02,10.8,3.56,
M 59,NGC4621,galaxy,Galaxy,12:42:02,+11:38:49,9.6,4.55,
NGC 4631,NGC4631,galaxy,Galaxy,12:42:08,+32:32:29,9.2,14.45,Whale Galaxy
NGC 4632,NGC4632,galaxy,Galaxy,12:42:32,-00:04:57,11.9,2.56,
NGC 4638,NGC4638,galaxy,Galaxy,12:42:47,+11:26:33,11.1,2.31,
NGC 4636,NGC4636,galaxy,Galaxy,12:42:49,+02:41:16,10.0,6.35,
NGC 4639,NGC4639,galaxy,Galaxy,12:42:52,+13:15:26,11.6,2.87,
NGC 4643,NGC4643,galaxy,Galaxy,12:43:20,+01:58:41,10.7,2.24,
NGC 4647,NGC4647,galaxy,Galaxy,12:43:32,+11:34:54,11.6,2.75,
M 60,NGC4649,galaxy,Galaxy,12:43:39,+11:33:09,8.8,6.78,
NGC 4651,NGC4651,galaxy,Galaxy,12:43:42,+16:23:36,10.8,3.87,Umbrella Galaxy
NGC 4654,NGC4654,galaxy,Galaxy,12:43:56,+13:07:36,10.5,4.72,
NGC 4656 NED01,NGC4656 NED01,galaxy,Galaxy,12:43:57,+32:10:12,10.5,6.46,
NGC 4660,NGC4660,galaxy,Galaxy,12:44:31,+11:11:25,11.3,2.09,
NGC 4664,NGC4664,galaxy,Galaxy,12:45:05,+03:03:20,10.5,4.52,
NGC 4666,NGC4666,galaxy,Galaxy,12:45:08,-00:27:42,10.8,4.97,
NGC 4684,NGC4684,galaxy,Galaxy,12:47:17,-02:43:38,11.6,2.97,
NGC 4689,NGC4689,galaxy,Galaxy,12:47:45,+13:45:46,10.9,3.82,
NGC 4691,NGC4691,galaxy,Galaxy,12:48:13,-03:19:57,11.0,3.03,
NGC 4698,NGC4698,galaxy,Galaxy,12:48:22,+08:29:14,10.7,3.81,
NGC 4697,NGC4697,galaxy,Galaxy,12:48:35,-05:48:02,9.4,7.14,
NGC 4699,NGC4699,galaxy,Galaxy,12:49:02,-08:39:53,9.5,3.99,
NGC 4710,NGC4710,galaxy,Galaxy,12:49:38,+15:09:55,10.7,4.39,
NGC 4713,NGC4713,galaxy,Galaxy,12:49:57,+05:18:41,11.7,1.66,
NGC 4725,NGC4725,galaxy,Galaxy,12:50:26,+25:30:02,9.4,9.71,
M 94,NGC4736,galaxy,Galaxy,12:50:53,+41:07:13,8.2,7.74,
NGC 4731,NGC4731,galaxy,Galaxy,12:51:01,-06:23:35,11.4,6.32,
NGC 4733,NGC4733,galaxy,Galaxy,12:51:06,+10:54:43,11.8,1.97,
NGC 4742,NGC4742,galaxy,Galaxy,12:51:48,-10:27:17,11.2,2.14,
IC 3829,IC3829,galaxy,Galaxy,12:52:13,-29:50:26,11.7,3.41,
NGC 4754,NGC4754,galaxy,Galaxy,12:52:17,+11:18:50,10.5,4.16,
NGC 4753,NGC4753,galaxy,Galaxy,12:52:22,-01:11:58,9.7,6.49,
NGC 4762,NGC4762,galaxy,Galaxy,12:52:56,+11:13:50,10.2,8.26,
NGC 4760,NGC4760,galaxy,Galaxy,12:53:07,-10:29:39,11.6,2.57,
NGC 4772,NGC4772,galaxy,Galaxy,12:53:29,+02:10:06,11.3,4.12,
NGC 4775,NGC4775,galaxy,Galaxy,12:53:45,-06:37:19,11.6,2.22,
NGC 4781,NGC4781,galaxy,Galaxy,12:54:23,-10:32:13,11.4,3.66,
NGC 4786,NGC4786,galaxy,Galaxy,12:54:32,-06:51:33,11.7,1.98,
NGC 4793,NGC4793,galaxy,Galaxy,12:54:40,+28:56:19,11.6,1.82,
NGC 4808,NGC4808,galaxy,Galaxy,12:55:48,+04:18:14,11.8,2.36,
NGC 4802,NGC4802,galaxy,Galaxy,12:55:49,-12:03:19,11.3,2.64,
M 64,NGC4826,galaxy,Galaxy,12:56:43,+21:40:58,8.5,10.52,"Black Eye Galaxy,Evil Eye Galaxy"
NGC 4818,NGC4818,galaxy,Galaxy,12:56:48,-08:31:31,11.3,4.27,
NGC 4825,NGC4825,galaxy,Galaxy,12:57:12,-13:39:53,11.6,2.69,
NGC 4845,NGC4845,galaxy,Galaxy,12:58:01,+01:34:33,11.0,5.50,
NGC 4856,NGC4856,galaxy,Galaxy,12:59:21,-15:02:31,10.6,4.25,
NGC 4866,NGC4866,galaxy,Galaxy,12:59:27,+14:10:15,11.1,5.77,
NGC 4874,NGC4874,galaxy,Galaxy,12:59:35,+27:57:33,11.8,2.29,
NGC 4889,NGC4889,galaxy,Galaxy,13:00:08,+27:58:37,11.4,2.59,
NGC 4900,NGC4900,galaxy,Galaxy,13:00:39,+02:30:05,11.4,2.13,
NGC 4914,NGC4914,galaxy,Galaxy,13:00:42,+37:18:55,11.6,2.69,
NGC 4904,NGC4904,galaxy,Galaxy,13:00:58,-00:01:39,12.0,1.99,
NGC 4902,NGC4902,galaxy,Galaxy,13:00:59,-14:30:49,11.3,2.63,
NGC 4915,NGC4915,galaxy,Galaxy,13:01:28,-04:32:47,12.0,1.64,
NGC 4933B,NGC4933B,galaxy,Galaxy,13:03:56,-11:29:53,11.7,4.37,
NGC 4941,NGC4941,galaxy,Galaxy,13:04:13,-05:33:05,11.3,3.29,
NGC 4939,NGC4939,galaxy,Galaxy,13:04:14,-10:20:22,11.9,5.71,
NGC 4936,NGC4936,galaxy,Galaxy,13:04:16,-30:31:34,10.7,2.85,
NGC 4951,NGC4951,galaxy,Galaxy,13:05:07,-06:29:37,11.8,3.14,
NGC 4958,NGC4958,galaxy,Galaxy,13:05:48,-08:01:13,10.6,4.79,
IC 4182,IC4182,galaxy,Galaxy,13:05:49,+37:36:17,11.6,6.01,
NGC 4981,NGC4981,galaxy,Galaxy,13:08:48,-06:46:39,11.4,2.70,
NGC 4984,NGC4984,galaxy,Galaxy,13:08:57,-15:30:58,11.0,3.37,
NGC 4995,NGC4995,galaxy,Galaxy,13:09:40,-07:50:00,11.1,2.43,
NGC 5005,NGC5005,galaxy,Galaxy,13:10:56,+37:03:33,10.7,4.82,
M 53,NGC5024,cluster,Globular Cluster,13:12:55,+18:10:08,7.8,9.00,
NGC 5018,NGC5018,galaxy,Galaxy,13:13:01,-19:31:05,10.8,3.49,
NGC 5033,NGC5033,galaxy,Galaxy,13:13:27,+36:35:38,10.7,9.84,
NGC 5044,NGC5044,galaxy,Galaxy,13:15:23,-16:23:07,10.8,3.66,
NGC 5042,NGC5042,galaxy,Galaxy,13:15:31,-23:59:02,11.8,4.15,
M 63,NGC5055,galaxy,Galaxy,13:15:49,+42:01:45,8.6,11.83,Sunflower Galaxy
NGC 5053,NGC5053,cluster,Globular Cluster,13:16:26,+17:41:51,10.0,4.80,
NGC 5054,NGC5054,galaxy,Galaxy,13:16:58,-16:38:05,10.8,5.04,
IC 4214,IC4214,galaxy,Galaxy,13:17:42,-32:06:06,11.4,2.96,
NGC 5061,NGC5061,galaxy,Galaxy,13:18:05,-26:50:14,10.3,3.75,
NGC 5068,NGC5068,galaxy,Galaxy,13:18:54,-21:02:20,10.1,7.48,
NGC 5077,NGC5077,galaxy,Galaxy,13:19:31,-12:39:25,11.7,2.65,
NGC 5078,NGC5078,galaxy,Galaxy,13:19:49,-27:24:37,10.6,2.56,
NGC 5084,NGC5084,galaxy,Galaxy,13:20:16,-21:49:39,10.5,9.93,
NGC 5087,NGC5087,galaxy,Galaxy,13:20:24,-20:36:39,11.1,2.99,
NGC 5101,NGC5101,galaxy,Galaxy,13:21:46,-27:25:49,10.5,5.90,
NGC 5105,NGC5105,galaxy,Galaxy,13:21:49,-13:12:24,11.8,1.93,
NGC 5134,NGC5134,galaxy,Galaxy,13:25:18,-21:08:03,11.8,2.70,
NGC 5153,NGC5153,galaxy,Galaxy,13:27:54,-29:37:04,11.9,2.44,
NGC 5161,NGC5161,galaxy,Galaxy,13:29:13,-33:10:25,11.5,5.36,
NGC 5172,NGC5172,galaxy,Galaxy,13:29:19,+17:03:06,12.0,2.38,
NGC 5204,NGC5204,galaxy,Galaxy,13:29:36,+58:25:07,11.3,4.50,
NGC 5170,NGC5170,galaxy,Galaxy,13:29:48,-17:57:59,11.2,7.96,
M 51,NGC5194,galaxy,Galaxy,13:29:52,+47:11:42,8.4,13.71,Whirlpool Galaxy
NGC 5195,NGC5195,galaxy,Galaxy,13:29:59,+47:15:58,9.6,5.50,
NGC 5198,NGC5198,galaxy,Galaxy,13:30:11,+46:40:14,11.8,2.03,
NGC 5193,NGC5193,galaxy,Galaxy,13:31:53,-33:14:03,11.7,2.07,
IC 4296,IC4296,galaxy,Galaxy,13:36:39,-33:57:57,10.5,4.62,
M 83,NGC5236,galaxy,Galaxy,13:37:00,-29:51:55,7.2,13.61,Southern Pinwheel Galaxy
NGC 5248,NGC5248,galaxy,Galaxy,13:37:32,+08:53:06,10.0,4.07,
NGC 5247,NGC5247,galaxy,Galaxy,13:38:03,-17:53:02,10.4,5.32,
NGC 5253,NGC5253,galaxy,Galaxy,13:39:55,-31:38:24,10.3,5.01,
NGC 5264,NGC5264,galaxy,Galaxy,13:41:36,-29:54:47,12.0,2.97,
M 3,NGC5272,cluster,Globular Cluster,13:42:11,+28:22:31,6.4,16.20,
NGC 5297,NGC5297,galaxy,Galaxy,13:46:23,+43:52:20,11.8,3.72,
NGC 5308,NGC5308,galaxy,Galaxy,13:47:00,+60:58:23,11.3,4.33,
NGC 5292,NGC5292,galaxy,Galaxy,13:47:40,-30:56:22,11.9,2.29,
IC 4329,IC4329,galaxy,Galaxy,13:49:05,-30:17:45,11.0,4.74,
NGC 5322,NGC5322,galaxy,Galaxy,13:49:15,+60:11:25,10.1,5.62,
NGC 5326,NGC5326,galaxy,Galaxy,13:50:50,+39:34:29,11.9,2.18,
NGC 5328,NGC5328,galaxy,Galaxy,13:52:53,-28:29:21,11.7,3.07,
NGC 5334,NGC5334,galaxy,Galaxy,13:52:54,-01:06:52,11.7,3.38,
NGC 5350,NGC5350,galaxy,Galaxy,13:53:21,+40:21:50,11.5,2.69,
NGC 5353,NGC5353,galaxy,Galaxy,13:53:26,+40:16:58,11.0,2.37,
NGC 5354,NGC5354,galaxy,Galaxy,13:53:26,+40:18:09,11.4,3.03,
NGC 5371,NGC5371,galaxy,Galaxy,13:55:39,+40:27:42,11.7,3.98,
NGC 5389,NGC5389,galaxy,Galaxy,13:56:06,+59:44:31,12.0,3.27,
NGC 5363,NGC5363,galaxy,Galaxy,13:56:07,+05:15:17,10.2,4.17,
NGC 5364,NGC5364,galaxy,Galaxy,13:56:12,+05:00:52,10.5,3.80,
NGC 5377,NGC5377,galaxy,Galaxy,13:56:16,+47:14:08,11.3,3.64,
NGC 5383,NGC5383,galaxy,Galaxy,13:57:04,+41:50:46,11.6,2.48,
IC 4351,IC4351,galaxy,Galaxy,13:57:54,-29:18:56,11.6,6.55,
NGC 5395,NGC5395,galaxy,Galaxy,13:58:37,+37:25:28,11.7,2.49,
NGC 5422,NGC5422,galaxy,Galaxy,14:00:42,+55:09:52,11.8,2.81,
NGC 5448,NGC5448,galaxy,Galaxy,14:02:50,+49:10:21,11.9,3.77,
M 101,NGC5457,galaxy,Galaxy,14:03:12,+54:20:56,7.9,23.99,
NGC 5444,NGC5444,galaxy,Galaxy,14:03:24,+35:07:55,11.9,2.48,
NGC 5419,NGC5419,galaxy,Galaxy,14:03:38,-33:58:41,10.8,3.98,
NGC 5473,NGC5473,galaxy,Galaxy,14:04:43,+54:53:33,11.5,1.99,
NGC 5474,NGC5474,galaxy,Galaxy,14:05:01,+53:39:44,11.0,2.39,
NGC 5466,NGC5466,cluster,Globular Cluster,14:05:27,+28:32:04,9.7,6.60,
NGC 5485,NGC5485,galaxy,Galaxy,14:07:11,+55:00:06,11.5,2.51,
IC 0983,IC0983,galaxy,Galaxy,14:10:04,+17:44:01,12.0,2.32,
NGC 5493,NGC5493,galaxy,Galaxy,14:11:29,-05:02:37,11.4,2.17,
NGC 5529,NGC5529,galaxy,Galaxy,14:15:34,+36:13:35,11.9,5.79,
NGC 5533,NGC5533,galaxy,Galaxy,14:16:07,+35:20:37,11.8,2.86,
NGC 5532,NGC5532,galaxy,Galaxy,14:16:52,+10:48:26,11.9,2.34,
NGC 5557,NGC5557,galaxy,Galaxy,14:18:25,+36:29:36,11.0,2.28,
NGC 5585,NGC5585,galaxy,Galaxy,14:19:48,+56:43:44,11.0,4.27,
NGC 5566,NGC5566,galaxy,Galaxy,14:20:19,+03:56:01,10.5,5.36,
NGC 5556,NGC5556,galaxy,Galaxy,14:20:34,-29:14:30,11.8,3.45,
NGC 5582,NGC5582,galaxy,Galaxy,14:20:43,+39:41:36,11.6,2.20,
NGC 5576,NGC5576,galaxy,Galaxy,14:21:03,+03:16:15,10.9,2.83,
NGC 5614,NGC5614,galaxy,Galaxy,14:24:07,+34:51:31,11.7,2.43,
NGC 5631,NGC5631,galaxy,Galaxy,14:26:33,+56:34:57,11.6,1.95,
NGC 5634,NGC5634,cluster,Globular Cluster,14:29:37,-05:58:35,10.1,4.50,
NGC 5638,NGC5638,galaxy,Galaxy,14:29:40,+03:13:59,11.2,1.94,
NGC 5660,NGC5660,galaxy,Galaxy,14:29:49,+49:37:21,11.9,2.64,
NGC 5678,NGC5678,galaxy,Galaxy,14:32:05,+57:55:17,11.4,2.96,
IC 1029,IC1029,galaxy,Galaxy,14:32:27,+49:54:16,11.3,2.78,
NGC 5676,NGC5676,galaxy,Galaxy,14:32:46,+49:27:28,11.2,3.59,
NGC 5668,NGC5668,galaxy,Galaxy,14:33:24,+04:27:01,11.7,1.91,
NGC 5687,NGC5687,galaxy,Galaxy,14:34:52,+54:28:33,11.7,2.41,
NGC 5689,NGC5689,galaxy,Galaxy,14:35:29,+48:44:29,11.8,3.66,
NGC 5701,NGC5701,galaxy,Galaxy,14:39:11,+05:21:48,11.2,2.00,
NGC 5694,NGC5694,cluster,Globular Cluster,14:39:36,-26:32:18,10.9,3.30,
NGC 5713,NGC5713,galaxy,Galaxy,14:40:11,-00:17:20,11.3,2.47,
NGC 5728,NGC5728,galaxy,Galaxy,14:42:23,-17:15:11,11.5,3.20,
NGC 5740,NGC5740,galaxy,Galaxy,14:44:24,+01:40:47,11.9,2.70,
NGC 5746,NGC5746,galaxy,Galaxy,14:44:55,+01:57:18,10.6,7.24,
NGC 5750,NGC5750,galaxy,Galaxy,14:46:11,-00:13:22,11.7,2.65,
NGC 5775,NGC5775,galaxy,Galaxy,14:53:57,+03:32:40,11.4,3.70,
NGC 5792,NGC5792,galaxy,Galaxy,14:58:22,-01:05:27,11.3,3.55,
NGC 5791,NGC5791,galaxy,Galaxy,14:58:46,-19:16:00,11.8,2.71,
NGC 5796,NGC5796,galaxy,Galaxy,14:59:24,-16:37:25,11.6,2.65,
NGC 5806,NGC5806,galaxy,Galaxy,15:00:00,+01:53:28,11.7,3.03,
NGC 5812,NGC5812,galaxy,Galaxy,15:00:55,-07:27:26,11.2,2.66,
NGC 5813,NGC5813,galaxy,Galaxy,15:01:11,+01:42:07,10.5,4.13,
NGC 5824,NGC5824,cluster,Globular Cluster,15:03:58,-33:04:05,9.6,5.10,
NGC 5831,NGC5831,galaxy,Galaxy,15:04:07,+01:13:11,11.5,2.24,
NGC 5838,NGC5838,galaxy,Galaxy,15:05:26,+02:05:57,10.8,3.86,
NGC 5845,NGC5845,galaxy,Galaxy,15:06:00,+01:38:01,11.4,1.00,
NGC 5846,NGC5846,galaxy,Galaxy,15:06:29,+01:36:20,10.2,4.27,
NGC 5866,NGC5866,galaxy,Galaxy,15:06:29,+55:45:47,9.9,6.31,
NGC 5850,NGC5850,galaxy,Galaxy,15:07:07,+01:32:39,11.0,3.35,
NGC 5854,NGC5854,galaxy,Galaxy,15:07:47,+02:34:07,11.8,3.02,
NGC 5861,NGC5861,galaxy,Galaxy,15:09:16,-11:19:18,11.7,2.78,
NGC 5879,NGC5879,galaxy,Galaxy,15:09:46,+57:00:00,11.5,3.79,
NGC 5878,NGC5878,galaxy,Galaxy,15:13:45,-14:16:11,11.7,3.27,
NGC 5885,NGC5885,galaxy,Galaxy,15:15:04,-10:05:09,11.7,3.07,
NGC 5907,NGC5907,galaxy,Galaxy,15:15:53,+56:19:43,10.4,11.30,
NGC 5908,NGC5908,galaxy,Galaxy,15:16:43,+55:24:33,11.9,3.37,
NGC 5897,NGC5897,cluster,Globular Cluster,15:17:24,-21:00:36,8.5,9.90,
NGC 5898,NGC5898,galaxy,Galaxy,15:18:13,-24:05:52,11.4,2.66,
M 5,NGC5904,cluster,Globular Cluster,15:18:33,+02:04:57,6.0,15.00,
NGC 5903,NGC5903,galaxy,Galaxy,15:18:36,-24:04:06,11.3,3.00,
NGC 5921,NGC5921,galaxy,Galaxy,15:21:56,+05:04:13,11.0,3.02,
NGC 5965,NGC5965,galaxy,Galaxy,15:34:02,+56:41:08,11.8,5.08,
NGC 5962,NGC5962,galaxy,Galaxy,15:36:31,+16:36:28,11.5,2.48,
NGC 5964,NGC5964,galaxy,Galaxy,15:37:36,+05:58:26,11.8,3.42,
NGC 5970,NGC5970,galaxy,Galaxy,15:38:29,+12:11:11,11.6,2.77,
NGC 5982,NGC5982,galaxy,Galaxy,15:38:39,+59:21:21,11.1,3.07,
NGC 5985,NGC5985,galaxy,Galaxy,15:39:37,+59:19:55,11.8,3.98,
NGC 5987,NGC5987,galaxy,Galaxy,15:39:57,+58:04:46,11.7,3.84,
NGC 6015,NGC6015,galaxy,Galaxy,15:51:25,+62:18:36,11.2,5.81,
NGC 6012,NGC6012,galaxy,Galaxy,15:54:13,+14:36:04,12.0,1.77,
NGC 6070,NGC6070,galaxy,Galaxy,16:09:58,+00:42:33,11.8,3.49,
IC 4593,IC4593,nebula,Planetary Nebula,16:11:44,+12:04:17,10.7,0.66,
IC 4592,IC4592,nebula,Reflection Nebula,16:11:58,-19:27:16,3.9,60.00,
M 80,NGC6093,cluster,Globular Cluster,16:17:02,-22:58:30,7.3,5.70,
NGC 6125,NGC6125,galaxy,Galaxy,16:19:11,+57:59:03,12.0,1.38,
NGC 6140,NGC6140,galaxy,Galaxy,16:20:58,+65:23:26,11.7,2.09,
NGC 6118,NGC6118,galaxy,Galaxy,16:21:48,-02:17:00,11.7,4.45,
M 4,NGC6121,cluster,Globular Cluster,16:23:35,-26:31:31,5.4,28.20,
IC 4604,IC4604,nebula,Nebula,16:25:31,-23:26:11,5.1,60.00,rho Oph Nebula
NGC 6144,NGC6144,cluster,Globular Cluster,16:27:14,-26:01:29,9.6,5.40,
